[26-Feb-2016 12:06:36] ErrorException: Parse Error: syntax error, unexpected ''http://parts.libertypumps.com' (T_CONSTANT_ENCAPSED_STRING) in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\box\menu\views\frontend\index.view.php at line 37
[26-Feb-2016 13:50:24] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:54:20] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:54:21] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:55:26] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:55:28] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:57:44] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:57:45] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:57:46] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:57:46] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:57:47] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:59:43] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:59:44] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:59:44] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:59:44] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:59:45] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 13:59:45] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 14:01:21] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 14:01:23] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 14:01:23] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 14:01:23] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 14:01:24] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 14:01:24] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
[26-Feb-2016 14:01:54] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\checkout\views\frontend\checkout.view.php at line 86
[26-Feb-2016 14:02:27] ErrorException: Fatal Error: Call to undefined function curl_exec() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\checkout\views\frontend\checkout.view.php at line 87
[26-Feb-2016 14:19:11] ErrorException: Fatal Error: Call to undefined function curl_init() in D:\programs\apache2\vhosts\parts.libertypumps.com.local\plugins\store\shipping\shipping.plugin.php at line 625
